Site      Inst    Year   MM   DD Jday   hh   mm        #     Conc      LWC     Rain      dBZ       Dm     DMax  Sigma_M    Wx_Code4677
UW       apu30    2015    3   28   87    1   14 2510.00000 3386.47827    0.41320    3.86887   24.73492    0.68006    1.41600    0.02781   59
UW       apu30    2015    3   28   87    1   15 2285.00000 3166.02197    0.37338    3.42297   24.19552    0.67520    1.41600    0.02747   59
UW       apu30    2015    3   28   87    1   16 2146.00000 2722.18921    0.30590    2.98696   22.80922    0.65454    1.22300    0.02198   59
UW       apu30    2015    3   28   87    1   17 2182.00000 3012.92456    0.34572    3.28956   24.46263    0.69582    1.41600    0.03862   59
UW       apu30    2015    3   28   87    1   18 2192.00000 3258.81543    0.37724    3.47702   25.02545    0.70466    1.41600    0.04084   59
UW       apu30    2015    3   28   87    1   19 2354.00000 3189.87109    0.40366    4.02170   25.85781    0.72851    1.41600    0.04743   59
UW       apu30    2015    3   28   87    1   20 2081.00000 3030.54224    0.37861    3.43918   24.94240    0.70537    1.41600    0.03537   59
UW       apu30    2015    3   28   87    1   21 2074.00000 2763.50586    0.34267    3.30392   24.30758    0.69757    1.41600    0.03238   59
UW       apu30    2015    3   28   87    1   22 2509.00000 3158.19971    0.39656    4.01491   24.84618    0.69504    1.41600    0.02986   59
UW       apu30    2015    3   28   87    1   23 2481.00000 3249.42529    0.40721    3.98044   24.88754    0.69273    1.41600    0.02856   59
UW       apu30    2015    3   28   87    1   24 2536.00000 3430.01953    0.43688    4.26712   25.89760    0.71915    1.41600    0.04042   59
UW       apu30    2015    3   28   87    1   25 2546.00000 3402.92310    0.48139    4.90726   27.42225    0.76636    1.67400    0.05938   59
UW       apu30    2015    3   28   87    1   26 2670.00000 3648.78418    0.45665    4.38427   26.05438    0.71079    1.67400    0.04253   59
UW       apu30    2015    3   28   87    1   27 3027.00000 3757.59961    0.60839    6.56824   28.94983    0.79951    1.93100    0.06098   59
UW       apu30    2015    3   28   87    1   28 2869.00000 3513.08276    0.62266    6.64806   28.84008    0.80419    1.67400    0.04757   59
UW       apu30    2015    3   28   87    1   29 2207.00000 2484.09717    0.49948    5.44275   27.48873    0.79759    1.67400    0.03133   90
UW       apu30    2015    3   28   87    1   30 2239.00000 2505.40259    0.42029    4.57099   26.04837    0.75055    1.67400    0.03155   59
UW       apu30    2015    3   28   87    1   31 2265.00000 2752.53516    0.45584    4.66374   26.41987    0.75337    1.41600    0.03147   59
UW       apu30    2015    3   28   87    1   32 2322.00000 2761.67798    0.42854    4.39736   25.84866    0.73134    1.67400    0.03143   59
UW       apu30    2015    3   28   87    1   33 2087.00000 2470.72437    0.37287    3.87445   25.37787    0.73210    1.67400    0.03664   59
UW       apu30    2015    3   28   87    1   34 2686.00000 3098.67114    0.49340    5.33071   27.10380    0.75346    1.93100    0.04430   59
UW       apu30    2015    3   28   87    1   35 2605.00000 3138.23389    0.48916    5.08593   26.67393    0.74559    1.41600    0.03453   59
UW       apu30    2015    3   28   87    1   36 3004.00000 3660.50610    0.53843    5.63009   27.06503    0.73599    1.67400    0.03881   59
UW       apu30    2015    3   28   87    1   37 2613.00000 3429.17993    0.48266    4.80897   26.92133    0.74218    1.93100    0.04864   59
UW       apu30    2015    3   28   87    1   38 2396.00000 3161.46802    0.43017    4.26095   25.91200    0.72775    1.41600    0.03808   59
UW       apu30    2015    3   28   87    1   39 2455.00000 3089.06299    0.43008    4.40756   26.10530    0.72936    1.93100    0.04259   59
UW       apu30    2015    3   28   87    1   40 1824.00000 2487.47144    0.39333    3.88248   26.86907    0.78036    2.18900    0.06047   59
UW       apu30    2015    3   28   87    1   41 2169.00000 2510.59668    0.43801    4.94406   27.77498    0.80938    2.18900    0.06469   59
UW       apu30    2015    3   28   87    1   42 1729.00000 2366.36670    0.37190    3.80815   27.30507    0.81101    1.93100    0.07874   59
UW       apu30    2015    3   28   87    1   43 1453.00000 1919.65222    0.28708    3.00277   25.86312    0.79591    1.67400    0.07443   59
UW       apu30    2015    3   28   87    1   44 1424.00000 2130.74170    0.30314    2.99961   26.71308    0.81289    1.93100    0.09694   59
UW       apu30    2015    3   28   87    1   45 1682.00000 2221.28906    0.32330    3.48846   27.74692    0.82652    2.44600    0.12601   59
UW       apu30    2015    3   28   87    1   46 1944.00000 2436.37354    0.41266    4.84070   30.09015    0.90936    2.44600    0.16395   59
UW       apu30    2015    3   28   87    1   47 1953.00000 2536.50293    0.41403    4.54832   28.87461    0.86149    1.93100    0.11297   59
UW       apu30    2015    3   28   87    1   48 1630.00000 2285.93115    0.40486    4.68791   30.67941    0.97825    2.18900    0.17849   90
UW       apu30    2015    3   28   87    1   49 1778.00000 2405.01050    0.44005    5.23773   30.91046    0.96838    2.18900    0.17054   59
UW       apu30    2015    3   28   87    1   50 1802.00000 2401.26538    0.47347    5.84830   32.05383    1.02954    2.18900    0.20159   59
UW       apu30    2015    3   28   87    1   51 1469.00000 1948.95691    0.40808    5.26665   32.11105    1.08253    2.44600    0.23080   65
UW       apu30    2015    3   28   87    1   52 1490.00000 2016.77698    0.39186    4.83078   31.18745    1.03381    2.18900    0.19650   59
UW       apu30    2015    3   28   87    1   53 1657.00000 2194.57690    0.37885    4.46919   29.53196    0.93744    1.93100    0.13799   59
UW       apu30    2015    3   28   87    1   54 1392.00000 1997.49561    0.29970    3.41480   28.28793    0.91968    1.93100    0.13651   59
UW       apu30    2015    3   28   87    1   55 1149.00000 1647.42041    0.26722    2.96578   27.30366    0.89894    1.93100    0.11208   59
UW       apu30    2015    3   28   87    1   56 1144.00000 1610.18201    0.27029    3.03453   27.53055    0.91269    1.67400    0.11605   59
UW       apu30    2015    3   28   87    1   57 1088.00000 1451.97864    0.21371    2.52729   26.16620    0.87950    1.67400    0.11650   63
UW       apu30    2015    3   28   87    1   58 1060.00000 1548.88708    0.23137    2.66392   27.35932    0.92018    2.18900    0.14729   59
UW       apu30    2015    3   28   87    1   59  997.00000 1479.76843    0.22688    2.54790   27.06400    0.92118    1.93100    0.13308   63
UW       apu30    2015    3   28   87    2    0 1352.00000 1849.82056    0.36310    4.44221   31.05655    1.02835    2.83200    0.20809   59
UW       apu30    2015    3   28   87    2    1  925.00000 1360.82886    0.25386    2.95317   28.30268    0.99050    1.93100    0.13704   90
UW       apu30    2015    3   28   87    2    2  449.00000  644.69476    0.14767    1.81839   27.21404    1.08457    2.18900    0.16796   63
UW       apu30    2015    3   28   87    2    3  436.00000  633.72821    0.12688    1.65784   27.00571    1.11054    2.18900    0.20302   63
UW       apu30    2015    3   28   87    2    4  453.00000  595.36804    0.12336    1.86800   28.80211    1.22676    2.44600    0.34728   90
UW       apu30    2015    3   28   87    2    5  518.00000  695.51624    0.11314    1.50482   25.79379    1.02667    2.18900    0.20513   63
UW       apu30    2015    3   28   87    2    6  459.00000  600.80139    0.11919    1.61167   26.91217    1.08822    2.44600    0.23875   63
UW       apu30    2015    3   28   87    2    7  342.00000  472.87100    0.08999    1.08924   24.86741    1.01596    2.44600    0.20273   63
UW       apu30    2015    3   28   87    2    8  353.00000  469.73212    0.09505    1.23578   24.01153    1.02049    1.67400    0.10688   65
UW       apu30    2015    3   28   87    2    9  287.00000  328.45407    0.12822    1.89393   28.28953    1.25927    2.18900    0.19085   90
UW       apu30    2015    3   28   87    2   10  275.00000  303.43900    0.12419    1.77088   27.44180    1.21770    1.93100    0.14401   63
UW       apu30    2015    3   28   87    2   11  344.00000  361.43762    0.17962    2.45615   28.58367    1.20208    2.18900    0.09708   63
UW       apu30    2015    3   28   87    2   12  241.00000  278.61670    0.09064    1.25718   25.26983    1.14139    1.93100    0.13055   63
UW       apu30    2015    3   28   87    2   13  225.00000  284.73517    0.06987    0.92011   23.80526    1.10590    1.67400    0.13684   63
UW       apu30    2015    3   28   87    2   14  263.00000  307.80014    0.10649    1.59935   28.30616    1.31172    2.44600    0.25566   63
UW       apu30    2015    3   28   87    2   15  332.00000  401.97876    0.11715    1.56820   26.40620    1.13255    1.93100    0.14675   90
UW       apu30    2015    3   28   87    2   16  266.00000  334.32059    0.13122    1.78836   29.00415    1.28575    2.44600    0.24545   63
UW       apu30    2015    3   28   87    2   17  269.00000  334.19061    0.13141    1.72565   27.63155    1.20860    2.18900    0.14568   63
UW       apu30    2015    3   28   87    2   18  337.00000  435.71762    0.12679    1.70898   27.76404    1.20056    2.18900    0.20004   63
UW       apu30    2015    3   28   87    2   19  291.00000  370.40335    0.12515    1.91377   30.16014    1.37452    2.83200    0.38371   63
UW       apu30    2015    3   28   87    2   20  297.00000  384.90277    0.13201    1.91913   29.17132    1.30398    2.44600    0.26180   63
UW       apu30    2015    3   28   87    2   21  256.00000  322.87427    0.09862    1.30738   26.18007    1.16934    2.18900    0.16590   63
UW       apu30    2015    3   28   87    2   22  273.00000  381.28882    0.09950    1.31065   26.45292    1.17931    1.93100    0.19322   63
UW       apu30    2015    3   28   87    2   23  354.00000  404.56357    0.13188    1.90424   27.74470    1.19623    2.18900    0.17561   63
UW       apu30    2015    3   28   87    2   24  357.00000  490.62210    0.11552    1.67833   30.30304    1.28148    3.34700    0.55365   63
UW       apu30    2015    3   28   87    2   25  381.00000  475.96484    0.13023    1.98596   28.65487    1.25164    2.18900    0.25574   63
UW       apu30    2015    3   28   87    2   26  304.00000  408.13351    0.10003    1.37460   26.60024    1.18112    2.18900    0.20498   63
UW       apu30    2015    3   28   87    2   27  250.00000  312.29211    0.12135    1.94706   30.45290    1.47445    2.83200    0.34613   90
UW       apu30    2015    3   28   87    2   28  277.00000  341.04086    0.10979    1.56528   28.02522    1.25506    2.44600    0.25781   63
UW       apu30    2015    3   28   87    2   29  266.00000  278.61481    0.13757    2.14964   30.64454    1.42282    2.83200    0.33230   73
UW       apu30    2015    3   28   87    2   30  286.00000  325.21515    0.15730    2.36344   31.65033    1.43249    2.83200    0.39640   63
UW       apu30    2015    3   28   87    2   31  318.00000  368.98938    0.13975    2.09150   29.97621    1.33011    2.83200    0.30787   63
UW       apu30    2015    3   28   87    2   32  388.00000  455.08807    0.20439    3.23530   33.06553    1.46350    2.83200    0.42614   65
UW       apu30    2015    3   28   87    2   33  409.00000  477.54544    0.18609    2.94176   32.20839    1.42218    2.83200    0.39637   63
UW       apu30    2015    3   28   87    2   34  448.00000  533.23456    0.18618    2.99773   32.84621    1.43319    3.34700    0.50456   65
UW       apu30    2015    3   28   87    2   35  386.00000  443.85486    0.15255    2.34602   30.59765    1.29622    3.34700    0.36782   63
UW       apu30    2015    3   28   87    2   36  400.00000  477.11325    0.19285    3.12067   34.62329    1.53768    3.86200    0.73832   65
UW       apu30    2015    3   28   87    2   37  320.00000  359.47375    0.14199    2.15543   30.03606    1.32475    2.83200    0.31469   63
UW       apu30    2015    3   28   87    2   38  350.00000  434.14111    0.15698    2.28113   29.63987    1.28433    2.44600    0.23369   90
UW       apu30    2015    3   28   87    2   39  337.00000  398.31345    0.18676    3.23381   34.16282    1.61706    3.34700    0.57097   65
UW       apu30    2015    3   28   87    2   40  347.00000  405.88269    0.17630    2.88503   32.51638    1.48684    2.83200    0.42325   63
UW       apu30    2015    3   28   87    2   41  417.00000  491.48904    0.19977    3.08310   32.04040    1.37219    2.83200    0.34799   65
UW       apu30    2015    3   28   87    2   42  402.00000  457.42825    0.18797    2.94798   32.25802    1.39180    2.83200    0.41641   90
UW       apu30    2015    3   28   87    2   43  453.00000  453.28662    0.21190    3.61620   32.93134    1.43663    2.83200    0.39748   65
UW       apu30    2015    3   28   87    2   44  436.00000  470.03064    0.19178    3.15483   32.23843    1.41293    2.83200    0.37934   65
UW       apu30    2015    3   28   87    2   45  366.00000  423.93942    0.15970    2.27408   30.08082    1.27106    2.83200    0.29568   63
UW       apu30    2015    3   28   87    2   46  366.00000  403.26996    0.16302    2.66210   32.42719    1.43637    3.34700    0.52176   65
UW       apu30    2015    3   28   87    2   47  425.00000  495.20923    0.18347    2.67221   31.58808    1.32186    2.83200    0.39748   63
UW       apu30    2015    3   28   87    2   48  300.00000  369.01984    0.15105    2.34233   31.67760    1.47353    2.83200    0.41683   63
UW       apu30    2015    3   28   87    2   49  318.00000  364.89954    0.16160    2.58472   31.83768    1.45485    2.83200    0.39486   65
UW       apu30    2015    3   28   87    2   50  290.00000  317.90598    0.17019    3.02643   33.94676    1.64017    3.34700    0.60264   65
UW       apu30    2015    3   28   87    2   51  275.00000  342.70374    0.10905    1.59324   29.44107    1.33709    2.83200    0.41267   63
UW       apu30    2015    3   28   87    2   52  308.00000  348.67865    0.19181    3.30837   33.63297    1.60844    3.34700    0.41870   63
UW       apu30    2015    3   28   87    2   53  299.00000  330.73114    0.19159    3.56594   36.35844    1.78558    4.37800    0.93577   65
UW       apu30    2015    3   28   87    2   54  316.00000  331.83453    0.23885    4.73230   36.46242    1.86526    3.34700    0.56593   65
UW       apu30    2015    3   28   87    2   55  391.00000  425.13293    0.26886    4.94915   36.11271    1.71291    3.34700    0.53570   65
